id;name;category;duration_min;difficulty;physical_intensity;requires_morning;requires_silence;max_completions_per_day;habit_min_streak_days;habit_min_score;steps;contraindications;benefits;tags
24;Медитация на решение проблем;meditation;15;2;low;false;true;1;14;70;Сядь удобно и выбери одну конкретную проблему | Закрой глаза и сосредоточься на ней | Наблюдай мысли, которые приходят | Ищи кармические причины: какие твои действия могли создать эту ситуацию | Записывай инсайты после медитации;none;Развивает мудрость и понимание причин проблем, помогает увидеть собственную роль в ситуациях, даёт направление для решений.;problems,wisdom,karma,insight,clarity
25;Медитация на препятствия;meditation;10;2;low;false;true;1;14;70;Сядь удобно и вспомни внутренний блок или сопротивление | Закрой глаза и почувствуй, где оно живёт в теле | Наблюдай ощущения без попыток их изменить | Дыши в эту область | Принимай то, что есть | Замечай, как энергия начинает двигаться;none;Освобождает энергию для действий, помогает работать с внутренними блоками через принятие, развивает способность быть с дискомфортом.;obstacles,acceptance,energy,body,awareness
26;Медитация на точку тишины в сердце;meditation;10;2;low;false;true;1;14;70;Сядь удобно с прямой спиной | Закрой глаза | Перенеси внимание в центр груди | Визуализируй алмаз в розе | Пребывай в спокойствии этой точки | Когда ум уходит, мягко возвращайся к сердцу | Продолжай 10 минут;none;Развивает внутреннюю устойчивость, создаёт точку покоя внутри, помогает оставаться спокойным в любых ситуациях.;heart,stillness,stability,visualization,peace
27;Прямая спина в течение дня;daily;1;1;low;false;false;10;21;70;В любой момент дня проверь свою осанку | Выпрями спину | Почувствуй центральный канал от копчика до макушки | Сделай 2-3 спокойных вдоха | Продолжай свои дела с прямой спиной;none;Поддерживает энергию и ясность в течение дня, улучшает дыхание, развивает осознанность тела, помогает оставаться в присутствии.;posture,energy,awareness,body,presence
28;Медленные выдохи;daily;2;1;low;false;false;5;21;70;Когда чувствуешь стресс, остановись | Сделай три долгих медленных выдоха через нос | Начинай цикл дыхания с выдоха, а не со вдоха | Почувствуй, как тело успокаивается | Продолжай свои дела;none;Успокаивает нервную систему, снижает стресс за минуту, помогает не реагировать импульсивно, восстанавливает ясность ума.;breath,stress,calmness,quick,nervous_system
29;Внутренний замок;daily;1;1;low;false;false;10;21;70;В течение дня подбирай живот | Напрягай глубокие мышцы пресса мягко | Держи несколько секунд | Отпускай | Повторяй несколько раз в день | Замечай, как это влияет на твоё состояние;none;Создаёт область безмолвия для внутренних энергий, укрепляет корпус, помогает собраться и сфокусироваться, развивает связь с телом.;core,focus,energy,body,awareness
30;Практика улыбки;daily;1;1;low;false;false;10;21;70;Осознанно улыбнись прямо сейчас | Почувствуй, как растягиваются мышцы лица | Держи улыбку 10-15 секунд | Замечай, как меняется настроение | Повторяй несколько раз в день, особенно когда грустно;none;Улучшает настроение автоматически через физиологию, развязывает напряжение в лице, помогает переключить эмоциональное состояние.;mood,smile,emotions,simple,quick
31;Дарование-принятие с незнакомцами;daily;5;2;low;false;false;3;14;70;В течение дня выбери человека на улице | На вдохе представь, что вдыхаешь его боль и напряжение | На выдохе посылай ему счастье и лёгкость | Повтори с 3-5 людьми | Делай незаметно, про себя;none;Сажает семена сострадания в повседневной жизни, развивает эмпатию к незнакомым людям, превращает обычные ситуации в практику.;compassion,tonglen,daily_practice,empathy,street
32;Визуализация успеха партнёров;daily;10;2;low;false;false;1;14;70;Сядь спокойно | Представь каждого из четырёх партнёров по очереди | Визуализируй конкретный успех каждого | Представь, как ты помогаешь им достичь цели | Почувствуй радость от их успеха | Продолжай 2-3 минуты на каждого;none;Сажает семена твоего успеха через визуализацию успеха других, развивает радость за других, укрепляет связь с партнёрами.;visualization,partners,success,karma,joy
33;Обзор недели;reflection;30;2;low;false;false;1;7;70;Раз в неделю сядь с блокнотом | Просмотри успехи по 5 этическим нормам | Обнови список текущих проблем | Спланируй действия для каждого партнёра на следующую неделю | Запиши один главный фокус недели;none;Создаёт ритм еженедельной рефлексии, помогает видеть прогресс, корректировать курс, планировать служение другим.;weekly,reflection,planning,ethics,partners
34;Очищение пространства;daily;20;2;medium;false;false;1;14;70;Выбери одну зону дома или работы | Выброси вещи, которыми не пользовался 6 месяцев | Наведи порядок на рабочем месте | Протри поверхности | Почувствуй, как освобождается не только пространство, но и сознание;none;Освобождает сознание от ментального хлама через физическое очищение, улучшает фокус, создаёт ясность и лёгкость.;declutter,clarity,space,order,energy
35;Реинвестирование успеха;reflection;20;3;low;false;false;1;14;70;После завершения проекта устрой праздник с командой | Напиши рекомендательные письма тем, кто помог | Сделай подарки поставщикам | Сделай пожертвование на благое дело | Отложи 10% результата для следующего посева;none;Закрывает кармический цикл правильно, сажает семена следующего успеха, развивает благодарность и щедрость, создаёт хорошую репутацию.;success,gratitude,generosity,completion,karma
36;Заучивание правил;daily;5;1;low;false;false;1;21;70;Раз в день открой книгу о кармических правилах | Прочитай случайную страницу | Подумай, как применить это сегодня | Запиши одну мысль | Закрой книгу;none;Делает кармические правила живыми и действенными, поддерживает ежедневное обучение, помогает интегрировать знания в жизнь.;learning,karma,daily_practice,wisdom,integration
37;Тадасана (Поза горы);yoga;2;1;low;false;false;1;14;70;Встань, стопы на ширине таза | Распределяй вес равномерно на обе ноги | Подтяни коленные чашечки | Выпрями позвоночник, макушка тянется вверх | Плечи расслаблены, руки вдоль тела | Дыши спокойно 3-5 циклов через нос;none;Развивает устойчивость и выравнивание, улучшает осанку, создаёт основу для всех стоячих поз, учит присутствию в простоте.;foundation,alignment,posture,grounding,beginner
38;Уттанасана (Наклон стоя);yoga;3;2;low;false;false;1;14;70;Встань в Тадасану | На вдохе подними руки вверх | На выдохе наклонись вперёд от бёдер | Согни колени, если нужно | Расслабь шею и плечи | Дыши спокойно 5-7 циклов | На вдохе медленно поднимись;back_pain,high_pressure,vertigo;Вытягивает заднюю поверхность ног и спину, успокаивает ум, снимает напряжение с шеи, улучшает кровообращение.;forward_fold,stretching,calmness,hamstrings,release
39;Ардха Уттанасана (Полуподъём);yoga;4;2;low;false;false;1;14;70;Из наклона стоя положи руки на голени или пол | На вдохе вытяни спину параллельно полу | Смотри вперёд, шея продолжает линию спины | Держи 3-5 дыханий | На выдохе вернись в полный наклон или поднимись;back_pain;Укрепляет спину, учит правильному выравниванию в наклонах, готовит к более глубоким позам, развивает осознанность позвоночника.;back,alignment,strength,awareness,transition
40;Адхо Мукха Шванасана (Собака мордой вниз);yoga;5;3;medium;false;false;1;14;70;Встань на четвереньки | Подними таз вверх, выпрямляя ноги | Руки на ширине плеч, пальцы широко расставлены | Тянись копчиком вверх, пятки к полу | Шея расслаблена | Дыши 5-7 циклов | Опустись на колени;wrist_pain,high_pressure,shoulder_injury;Вытягивает всё тело, укрепляет руки и плечи, успокаивает ум, улучшает кровообращение, даёт энергию.;full_body,strength,stretching,inversion,energy
41;Урдхва Мукха Шванасана (Собака мордой вверх);yoga;8;4;medium;false;false;1;14;70;Ляг на живот, руки под плечами | На вдохе выпрями руки, подними грудь и бёдра от пола | Только ладони и верх стоп касаются пола | Плечи от ушей, грудь вперёд | Держи 3-5 дыханий | На выдохе опустись;back_pain,wrist_pain,pregnancy;Раскрывает грудь и плечи, укрепляет руки и спину, улучшает осанку, даёт энергию и бодрость.;backbend,chest_opening,strength,energy,spine
42;Бхуджангасана (Кобра);yoga;10;3;medium;false;false;1;14;70;Ляг на живот, руки под плечами | Активируй ноги и ягодицы | На вдохе подними грудь, локти слегка согнуты | Шея свободна, взгляд вперёд | Поясница без боли | Держи 2-5 дыханий | На выдохе опустись;back_pain,pregnancy,wrist_pain;Укрепляет спину, раскрывает грудь, улучшает гибкость позвоночника, стимулирует органы живота.;backbend,spine,chest_opening,strength,flexibility
43;Саламба Бхуджангасана (Сфинкс);yoga;2;2;low;false;false;1;14;70;Ляг на живот, предплечья на полу параллельно | Локти под плечами | Мягко подними грудь | Шея продолжает линию спины | Дыши спокойно 5-7 циклов | Опустись и расслабься;back_pain,pregnancy;Мягко раскрывает грудь, укрепляет спину без перенапряжения, подходит для начинающих, успокаивает.;gentle_backbend,chest,beginner,calmness,accessible
44;Баласана (Поза ребёнка);yoga;3;1;low;false;false;1;14;70;Встань на колени, большие пальцы ног вместе | Сядь ягодицами на пятки | Наклонись вперёд, лоб к полу | Руки вытянуты вперёд или вдоль тела | Дыши спокойно 7-10 циклов | Медленно поднимись;knee_pain,pregnancy,high_pressure;Глубоко расслабляет, снимает напряжение со спины, успокаивает ум, даёт чувство безопасности и отдыха.;rest,relaxation,calmness,gentle,restorative
45;Марджариасана (Кошка);yoga;4;1;low;false;false;1;14;70;Встань на четвереньки, запястья под плечами, колени под бёдрами | На выдохе округли спину, подбери живот, опусти голову | Почувствуй растяжение спины | Держи 2-3 дыхания | Вернись в нейтраль;none;Массирует позвоночник, улучшает гибкость спины, снимает напряжение, успокаивает, улучшает координацию с дыханием.;spine,flexibility,massage,calmness,breath_coordination
46;Битиласана (Корова);yoga;5;1;low;false;false;1;14;70;Встань на четвереньки | На вдохе прогни спину, подними голову и копчик вверх | Грудь вперёд | Держи 2-3 дыхания | Вернись в нейтраль | Чередуй с позой Кошки 8-10 раз;none;Раскрывает грудь, массирует позвоночник, улучшает гибкость, координирует дыхание с движением, успокаивает ум.;spine,chest_opening,flexibility,breath_coordination,gentle
47;Планка;yoga;8;3;medium;false;false;1;14;70;Встань на четвереньки | Вытяни ноги назад, стопы на ширине таза | Тело — прямая линия от головы до пяток | Плечи над запястьями | Активируй корпус и ноги | Дыши ровно 3-5 циклов | Опустись на колени;wrist_pain,shoulder_injury,high_pressure;Укрепляет всё тело, особенно корпус и руки, развивает выносливость, улучшает осанку, учит стабильности.;core,strength,full_body,stability,endurance
48;Боковая планка (Васиштхасана);yoga;10;4;medium;false;false;1;14;70;Из планки перенеси вес на правую руку | Разверни тело, левая стопа на правой | Левая рука вверх | Тело — прямая линия | Смотри вверх или вперёд | Держи 3-5 дыханий | Повтори на другую сторону;wrist_pain,shoulder_injury,elbow_pain;Укрепляет руки, корпус и ноги, развивает баланс и концентрацию, улучшает стабильность всего тела.;balance,core,strength,arms,focus
49;Чатуранга Дандасана;yoga;2;4;high;false;false;1;14;70;Из планки согни локти до 90 градусов | Локти прижаты к рёбрам | Тело параллельно полу | Держи 1-3 дыхания | Опустись на пол или перейди в Собаку мордой вверх;wrist_pain,shoulder_injury,elbow_pain;Укрепляет руки, плечи и корпус, развивает силу для более сложных поз, улучшает контроль тела.;strength,arms,core,challenge,control
50;Уткатасана (Стул);yoga;3;3;medium;false;false;1;14;70;Встань в Тадасану | Согни колени, как будто садишься на стул | Бёдра параллельны полу или выше | Руки вверх, плечи от ушей | Вес на пятках | Держи 3-5 дыханий | Выпрямись на вдохе;knee_pain,back_pain;Укрепляет ноги, ягодицы и корпус, развивает выносливость, улучшает баланс, разогревает всё тело.;legs,strength,endurance,balance,heat
51;Вирабхадрасана I (Воин I);yoga;4;3;medium;false;false;1;14;70;Встань, шагни правой ногой вперёд, левая сзади | Разверни левую стопу на 45 градусов | Согни правое колено до 90 градусов | Таз вперёд, руки вверх | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,back_pain,shoulder_injury;Укрепляет ноги и корпус, раскрывает грудь и плечи, развивает силу и устойчивость, улучшает концентрацию.;warrior,strength,legs,focus,grounding
52;Вирабхадрасана II (Воин II);yoga;5;3;medium;false;false;1;14;70;Встань, ноги широко, правая стопа вперёд, левая на 90 градусов | Согни правое колено | Руки в стороны на уровне плеч | Взгляд на правую руку | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,shoulder_injury;Укрепляет ноги, раскрывает бёдра и грудь, развивает выносливость и концентрацию, улучшает баланс.;warrior,strength,hips,endurance,focus
53;Вирабхадрасана III (Воин III);yoga;8;4;medium;false;false;1;14;70;Встань на правую ногу | Наклони корпус вперёд, левую ногу подними назад | Тело параллельно полу | Руки вперёд или к бёдрам | Взгляд в пол | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,ankle_injury,vertigo;Развивает баланс и концентрацию, укрепляет ноги и корпус, улучшает координацию, учит фокусу и устойчивости.;balance,warrior,core,focus,coordination
54;Высокий выпад;yoga;10;3;medium;false;false;1;14;70;Шагни правой ногой вперёд, левая сзади на носке | Согни правое колено до 90 градусов | Левая нога прямая | Руки вверх или на бёдрах | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,hip_pain;Укрепляет ноги и бёдра, раскрывает сгибатели бедра, развивает силу и баланс, разогревает тело.;lunge,strength,hips,legs,balance
55;Низкий выпад (Анжанейасана);yoga;2;2;low;false;false;1;14;70;Шагни правой ногой вперёд, левое колено на пол | Согни правое колено | Руки вверх или на бёдрах | Таз тянется вперёд и вниз | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,hip_pain;Раскрывает сгибатели бедра, вытягивает переднюю поверхность тела, мягко укрепляет ноги, улучшает гибкость.;lunge,hip_opening,stretching,gentle,flexibility
56;Уттхита Триконасана (Треугольник);yoga;3;2;low;false;false;1;14;70;Встань, ноги широко, правая стопа вперёд | Правая рука к голени или полу, левая вверх | Раскрой грудь, взгляд вверх или вперёд | Держи 3-5 дыханий | Повтори на другую сторону;back_pain,neck_pain,vertigo;Вытягивает бока и ноги, раскрывает грудь, улучшает баланс, стимулирует пищеварение, развивает устойчивость.;triangle,stretching,balance,side_body,digestion
57;Паривритта Триконасана (Скрученный треугольник);yoga;4;4;medium;false;false;1;14;70;Встань, ноги широко, правая стопа вперёд | Левую руку к правой голени или полу, правая рука вверх | Скрутись, раскрывая грудь | Держи 3-5 дыханий | Повтори на другую сторону;back_pain,neck_pain,vertigo,high_pressure;Скручивает позвоночник, улучшает пищеварение, развивает баланс и концентрацию, вытягивает ноги и бока.;twist,balance,detox,challenge,coordination
58;Уттхита Паршваконасана (Боковой угол);yoga;5;3;medium;false;false;1;14;70;Встань, ноги широко, правое колено согнуто | Правую руку к полу или на блок, левая вверх | Тело — диагональная линия | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,shoulder_injury;Укрепляет ноги, вытягивает бока, раскрывает грудь и плечи, улучшает выносливость и баланс.;side_angle,strength,stretching,endurance,balance
59;Паривритта Паршваконасана (Скрученный боковой угол);yoga;8;4;high;false;false;1;14;70;Из высокого выпада скрутись, левый локоть к правому колену | Руки в молитвенной позе или вытянуты | Раскрой грудь | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,back_pain,neck_pain;Глубоко скручивает позвоночник, укрепляет ноги и корпус, улучшает баланс, стимулирует детоксикацию.;twist,balance,detox,strength,challenge
60;Парсвоттанасана (Пирамида);yoga;10;3;medium;false;false;1;14;70;Встань, правая нога вперёд, левая сзади | Таз ровно, обе ноги прямые | Наклонись к правой ноге | Руки на полу или голени | Держи 5-7 дыханий | Повтори на другую сторону;back_pain,hamstring_injury;Глубоко вытягивает заднюю поверхность ног, улучшает баланс, успокаивает ум, развивает терпение и концентрацию.;forward_fold,hamstrings,balance,calmness,stretching
61;Прасарита Падоттанасана (Широкий наклон);yoga;2;2;low;false;false;1;14;70;Встань, ноги широко, стопы параллельно | Наклонись вперёд, руки на пол или голову к полу | Держи 5-7 дыханий | Медленно поднимись на вдохе;back_pain,high_pressure,vertigo;Вытягивает внутреннюю поверхность ног, успокаивает ум, улучшает кровообращение, снимает напряжение со спины.;forward_fold,legs,calmness,inversion,stretching
62;Ардха Чандрасана (Полумесяц);yoga;3;4;medium;false;false;1;14;70;Из Треугольника перенеси вес на правую ногу | Подними левую ногу параллельно полу | Правая рука на полу или блоке, левая вверх | Держи 3-5 дыханий | Повтори на другую сторону;ankle_injury,vertigo,knee_pain;Развивает баланс и концентрацию, укрепляет ноги и корпус, раскрывает грудь, улучшает координацию.;balance,strength,focus,coordination,challenge
63;Врикшасана (Дерево);yoga;4;2;low;false;false;1;14;70;Встань на правую ногу | Левую стопу помести на внутреннюю поверхность правого бедра или голени | Руки в молитвенной позе или вверх | Взгляд в одну точку | Держи 5-7 дыханий | Повтори на другую сторону;ankle_injury,knee_pain;Развивает баланс и концентрацию, укрепляет ноги, улучшает осанку, успокаивает ум, учит устойчивости.;balance,focus,grounding,calmness,stability
64;Гарудасана (Орёл);yoga;5;3;medium;false;false;1;14;70;Встань на правую ногу, левую оберни вокруг правой | Правый локоть под левым, ладони вместе | Присядь слегка | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,shoulder_injury;Развивает баланс и концентрацию, вытягивает плечи и бёдра, улучшает координацию, укрепляет ноги.;balance,focus,shoulders,hips,coordination
65;Натараджасана (Танцор);yoga;8;4;high;false;false;1;14;70;Встань на правую ногу | Согни левую ногу, возьми левую стопу левой рукой | Наклонись вперёд, левую ногу подними назад | Правая рука вперёд | Держи 3-5 дыханий | Повтори на другую сторону;back_pain,shoulder_injury,ankle_injury;Развивает баланс и грацию, раскрывает грудь и плечи, укрепляет ноги, улучшает концентрацию и координацию.;balance,backbend,grace,focus,challenge
66;Маласана (Гирлянда);yoga;10;2;low;false;false;1;14;70;Встань, стопы чуть шире плеч, носки в стороны | Присядь глубоко, пятки на полу или на опоре | Локти прижимают колени | Руки в молитвенной позе | Держи 5-7 дыханий | Медленно встань;knee_pain,hip_pain,ankle_injury;Раскрывает бёдра и пах, вытягивает спину, улучшает пищеварение, укрепляет лодыжки, готовит к родам.;squat,hip_opening,grounding,digestion,flexibility
67;Скандхасана;yoga;2;3;medium;false;false;1;14;70;Из широкого приседа перенеси вес на правую ногу | Левую ногу выпрями в сторону | Руки в молитвенной позе или на полу | Держи 3-5 дыханий | Повтори на другую сторону;knee_pain,hip_pain;Раскрывает бёдра, вытягивает внутреннюю поверхность ног, укрепляет ноги, развивает баланс и гибкость.;hip_opening,legs,balance,flexibility,strength
68;Паригхасана (Ворота);yoga;3;2;low;false;false;1;14;70;Встань на колени | Вытяни правую ногу в сторону | Наклонись вправо, правая рука на ноге, левая вверх | Держи 5-7 дыханий | Повтори на другую сторону;knee_pain,back_pain;Вытягивает бока и межрёберные мышцы, раскрывает грудь, улучшает дыхание, мягко укрепляет корпус.;side_body,stretching,breath,gentle,flexibility
